Sobic.001G000100.1	Sb01g000200
Sobic.002G184300.1	Sb02g023220
Sobic.002G184400.1	Sb02g023230
Sobic.002G184500.1	Sb02g023250
Sobic.002G184600.1	Sb02g023260
Sobic.002G184700.1	Sb02g023270
Sobic.002G184800.1	Sb02g023280
Sobic.002G184900.1	Sb02g023290
Sobic.002G185000.1	Sb02g023300
Sobic.002G185200.2	Sb02g023320
Sobic.002G185200.3	Sb02g023320
Sobic.002G185400.1	Sb02g023350
Sobic.002G185500.1	Sb02g023360
Sobic.002G185600.1	Sb02g023370
Sobic.002G185800.1	Sb02g023380
Sobic.002G185900.1	Sb02g023390
Sobic.002G186100.1	Sb02g023410
Sobic.002G186200.1	Sb02g023420
Sobic.002G186200.2	Sb02g023420
Sobic.002G186300.1	Sb02g023430
Sobic.002G186500.1	Sb02g023450
Sobic.002G186600.1	Sb02g023460
Sobic.002G186800.1	Sb02g023470
Sobic.002G186900.1	Sb02g023480
Sobic.002G186966.1	Sb02g023490
Sobic.002G187100.1	Sb02g023510
Sobic.002G187200.1	Sb02g023520
Sobic.002G187300.1	Sb02g023530
Sobic.002G187300.2	Sb02g023530
Sobic.002G187400.1	Sb02g023540
Sobic.002G187400.2	Sb02g023540
Sobic.002G187400.3	Sb02g023540
Sobic.002G187500.1	Sb02g023550
Sobic.002G187600.1	Sb02g023560
Sobic.002G187600.2	Sb02g023560
Sobic.002G187600.5	Sb02g023560
Sobic.002G187700.1	Sb02g023570
Sobic.002G187700.2	Sb02g023570
Sobic.002G188000.1	Sb02g023590
Sobic.002G188200.1	Sb02g023600
Sobic.002G188500.1	Sb02g023610
Sobic.002G188600.1	Sb02g023620
Sobic.002G188700.1	Sb02g023630
Sobic.002G188800.1	Sb02g023632
Sobic.002G188900.1	Sb02g023640
Sobic.002G189000.1	Sb02g023650
Sobic.002G189100.1	Sb02g023660
Sobic.002G189400.4	Sb02g023690
Sobic.002G189400.5	Sb02g023690
Sobic.002G189500.1	Sb02g023700
Sobic.002G189600.1	Sb02g023710
Sobic.002G189700.1	Sb02g023720
Sobic.002G189700.2	Sb02g023720
Sobic.002G189900.1	Sb02g023740
Sobic.002G190000.1	Sb02g023750
Sobic.002G190000.2	Sb02g023750
Sobic.002G190100.1	Sb02g023760
Sobic.002G190300.1	Sb02g023770
Sobic.002G190400.1	Sb02g023780
Sobic.002G190400.2	Sb02g023780
Sobic.002G190400.3	Sb02g023780
Sobic.002G190500.1	Sb02g023790
Sobic.002G190500.2	Sb02g023790
Sobic.002G190700.1	Sb02g023800
Sobic.002G190700.2	Sb02g023800
Sobic.002G190700.3	Sb02g023800
Sobic.002G190700.4	Sb02g023800
Sobic.002G190800.1	Sb02g023810
Sobic.002G190900.1	Sb02g023820
Sobic.002G191000.1	Sb02g023830
Sobic.002G191100.1	Sb02g023840
Sobic.002G191200.1	Sb02g023850
Sobic.002G191300.1	Sb02g023860
Sobic.002G191400.1	Sb02g023870
Sobic.002G191450.1	Sb02g023880
Sobic.002G191500.1	Sb02g023890
Sobic.002G191900.1	Sb02g023900
Sobic.002G192101.1	Sb02g023920
Sobic.002G192200.1	Sb02g023930
Sobic.002G192500.1	Sb02g023940
Sobic.002G192600.1	Sb02g023960
Sobic.002G192700.1	Sb02g023970
Sobic.002G192700.2	Sb02g023970
Sobic.002G192700.3	Sb02g023970
Sobic.002G192900.2	Sb02g023980
Sobic.002G192900.3	Sb02g023980
Sobic.002G193100.1	Sb02g024000
Sobic.002G193100.2	Sb02g024000
Sobic.002G193500.1	Sb02g024040
Sobic.002G193600.1	Sb02g024050
Sobic.002G193800.1	Sb02g024060
Sobic.002G193800.2	Sb02g024060
Sobic.002G193800.3	Sb02g024060
Sobic.002G193900.5	Sb02g024070
Sobic.002G194000.1	Sb02g024080
Sobic.002G194100.1	Sb02g024090
Sobic.002G194300.1	Sb02g024100
Sobic.002G194500.1	Sb02g024120
Sobic.002G194600.1	Sb02g024130
Sobic.002G194700.1	Sb02g024140
Sobic.002G194800.1	Sb02g024150
Sobic.002G194800.2	Sb02g024150
Sobic.002G194900.1	Sb02g024160
Sobic.002G194900.2	Sb02g024160
Sobic.002G194900.3	Sb02g024160
Sobic.002G195000.1	Sb02g024170
Sobic.002G195400.1	Sb02g024190
Sobic.002G195500.1	Sb02g024200
Sobic.002G195600.1	Sb02g024210
Sobic.002G195700.1	Sb02g024220
Sobic.002G195800.1	Sb02g024230
Sobic.002G195800.2	Sb02g024230
Sobic.002G195800.3	Sb02g024230
Sobic.002G195800.4	Sb02g024230
Sobic.002G195900.1	Sb02g024240
Sobic.002G196000.1	Sb02g024250
Sobic.002G196100.1	Sb02g024260
Sobic.002G196200.1	Sb02g024270
Sobic.002G196500.1	Sb02g024290
Sobic.002G196600.1	Sb02g024300
Sobic.002G196800.1	Sb02g024310
Sobic.002G196800.2	Sb02g024310
Sobic.002G196800.3	Sb02g024310
Sobic.002G196900.1	Sb02g024320
Sobic.002G197000.1	Sb02g024330
Sobic.002G197100.1	Sb02g024340
Sobic.002G197100.2	Sb02g024340
Sobic.002G197100.3	Sb02g024340
Sobic.002G197600.1	Sb02g024390
Sobic.002G197700.1	Sb02g024400
Sobic.002G197800.1	Sb02g024410
Sobic.002G198000.1	Sb02g024420
Sobic.002G198100.2	Sb02g024422
Sobic.002G198100.4	Sb02g024422
Sobic.002G198100.5	Sb02g024422
Sobic.002G198400.1	Sb02g024450
Sobic.002G198500.1	Sb02g024460
Sobic.002G198600.1	Sb02g024470
Sobic.002G198700.1	Sb02g024480
Sobic.002G198700.2	Sb02g024480
Sobic.002G198900.1	Sb02g024500
Sobic.002G199000.1	Sb02g024510
Sobic.002G199000.2	Sb02g024510
Sobic.002G199100.1	Sb02g024520
Sobic.002G199200.1	Sb02g024530
Sobic.002G199400.1	Sb02g024540
Sobic.002G199500.1	Sb02g024550
Sobic.002G199900.1	Sb02g024560
Sobic.002G200000.1	Sb02g024570
Sobic.002G200000.2	Sb02g024570
Sobic.002G200000.3	Sb02g024570
Sobic.002G200000.4	Sb02g024570
Sobic.002G200100.1	Sb02g024580
Sobic.002G200200.1	Sb02g024590
Sobic.002G200200.3	Sb02g024590
Sobic.002G200300.1	Sb02g024593
Sobic.002G200600.1	Sb02g024610
Sobic.002G200700.1	Sb02g024620
Sobic.002G200900.1	Sb02g024630
Sobic.002G200900.2	Sb02g024630
Sobic.002G201000.1	Sb02g024640
Sobic.002G201400.1	Sb02g024650
Sobic.002G201600.1	Sb02g024670
Sobic.002G201700.1	Sb02g024680
Sobic.002G201900.1	Sb02g024690
Sobic.002G202000.1	Sb02g024705
Sobic.002G202300.1	Sb02g024720
Sobic.002G202300.2	Sb02g024720
Sobic.002G202300.3	Sb02g024720
Sobic.002G202400.1	Sb02g024730
Sobic.002G202500.1	Sb02g024740
Sobic.002G202600.1	Sb02g024750
Sobic.002G202600.2	Sb02g024750
Sobic.002G202700.1	Sb02g024760
Sobic.002G202800.1	Sb02g024765
Sobic.002G202800.2	Sb02g024765
Sobic.002G203000.1	Sb02g024770
Sobic.002G203100.1	Sb02g024780
Sobic.002G203500.1	Sb02g024810
Sobic.002G203500.2	Sb02g024810
Sobic.002G203500.3	Sb02g024810
Sobic.002G203500.4	Sb02g024810
Sobic.002G203600.1	Sb02g024820
Sobic.002G203700.1	Sb02g024830
Sobic.002G203800.1	Sb02g024840
Sobic.002G203900.1	Sb02g024850
Sobic.002G203900.2	Sb02g024850
Sobic.002G203900.3	Sb02g024850
Sobic.002G204000.1	Sb02g024860
Sobic.002G204100.2	Sb02g024870
Sobic.002G204100.3	Sb02g024870
Sobic.002G204200.1	Sb02g024880
Sobic.002G204300.1	Sb02g024890
Sobic.002G204400.1	Sb02g024900
Sobic.002G204400.2	Sb02g024900
Sobic.002G204400.3	Sb02g024900
Sobic.002G204500.1	Sb02g024910
Sobic.002G204600.1	Sb02g024920
Sobic.002G204700.1	Sb02g024930
Sobic.002G204800.1	Sb02g024960
Sobic.002G204900.1	Sb02g024970
Sobic.002G204900.2	Sb02g024970
Sobic.002G204900.3	Sb02g024970
Sobic.002G204900.4	Sb02g024970
Sobic.002G205000.1	Sb02g024980
Sobic.002G205000.2	Sb02g024980
Sobic.002G205100.1	Sb02g024990
Sobic.002G205300.1	Sb02g025010
Sobic.002G205500.1	Sb02g025020
Sobic.002G205600.1	Sb02g025030
Sobic.002G205600.2	Sb02g025030
Sobic.002G205600.3	Sb02g025030
Sobic.002G205900.1	Sb02g025040
Sobic.002G206000.1	Sb02g025050
Sobic.002G206100.1	Sb02g025060
Sobic.002G206200.1	Sb02g025070
Sobic.002G206300.2	Sb02g025077
Sobic.002G206400.1	Sb02g025080
Sobic.002G206500.1	Sb02g025090
Sobic.002G206600.1	Sb02g025100
Sobic.002G206700.1	Sb02g025110
Sobic.002G206750.1	Sb02g025120
Sobic.002G206800.1	Sb02g025130
Sobic.002G206800.2	Sb02g025130
Sobic.002G207000.1	Sb02g025150
Sobic.002G207100.2	Sb02g025160
Sobic.002G207200.1	Sb02g025170
Sobic.002G207300.1	Sb02g025180
Sobic.002G207300.2	Sb02g025180
Sobic.002G207400.1	Sb02g025190
Sobic.002G207500.1	Sb02g025200
Sobic.002G207700.1	Sb02g025210
Sobic.002G208301.1	Sb02g025250
Sobic.002G208500.1	Sb02g025270
Sobic.002G208850.1	Sb02g025300
Sobic.002G209000.1	Sb02g025320
Sobic.002G209000.4	Sb02g025320
Sobic.002G209000.5	Sb02g025320
Sobic.002G209000.6	Sb02g025320
Sobic.002G209000.7	Sb02g025320
Sobic.002G209100.1	Sb02g025330
Sobic.002G209200.1	Sb02g025340
Sobic.002G209200.2	Sb02g025340
Sobic.002G209200.3	Sb02g025340
Sobic.002G209300.1	Sb02g025350
Sobic.002G209400.1	Sb02g025360
Sobic.002G209400.2	Sb02g025360
Sobic.002G209600.1	Sb02g025370
Sobic.002G209600.3	Sb02g025370
Sobic.002G209600.4	Sb02g025370
Sobic.002G209800.1	Sb02g025380
Sobic.002G209900.1	Sb02g025390
Sobic.002G210100.1	Sb02g025400
Sobic.002G210200.1	Sb02g025410
Sobic.002G210300.1	Sb02g025420
Sobic.002G210500.1	Sb02g025440
Sobic.002G210700.1	Sb02g025460
Sobic.002G211000.1	Sb02g025470
Sobic.002G211300.1	Sb02g025480
Sobic.002G211300.2	Sb02g025480
Sobic.002G211400.1	Sb02g025486
Sobic.002G211700.1	Sb02g025510
Sobic.002G211800.1	Sb02g025515
Sobic.002G211800.2	Sb02g025515
Sobic.002G211900.1	Sb02g025520
Sobic.002G212000.1	Sb02g025530
Sobic.002G212000.2	Sb02g025530
Sobic.002G212200.1	Sb02g025540
Sobic.002G212200.2	Sb02g025540
Sobic.002G212400.1	Sb02g025550
Sobic.002G213200.1	Sb02g025570
Sobic.002G213200.2	Sb02g025570
Sobic.002G213300.1	Sb02g025575
Sobic.002G213300.2	Sb02g025575
Sobic.002G213500.1	Sb02g025610
Sobic.002G213600.1	Sb02g025620
Sobic.002G214000.1	Sb02g025650
Sobic.002G214200.1	Sb02g025660
Sobic.002G214300.1	Sb02g025675
Sobic.002G214400.1	Sb02g025680
Sobic.002G214500.1	Sb02g025690
Sobic.002G214600.1	Sb02g025700
Sobic.002G214700.1	Sb02g025710
Sobic.002G214800.1	Sb02g025720
Sobic.002G214900.1	Sb02g025730
Sobic.002G215000.2	Sb02g025740
Sobic.002G215100.1	Sb02g025750
Sobic.002G215100.2	Sb02g025750
Sobic.002G215200.1	Sb02g025760
Sobic.002G215300.1	Sb02g025775
Sobic.002G215600.1	Sb02g025780
Sobic.002G215700.1	Sb02g025790
Sobic.002G216000.1	Sb02g025810
Sobic.002G216100.1	Sb02g025820
Sobic.002G216200.1	Sb02g025830
Sobic.002G216400.1	Sb02g025840
Sobic.002G216500.1	Sb02g025850
Sobic.002G216600.1	Sb02g025860
Sobic.002G216600.2	Sb02g025860
Sobic.002G217000.1	Sb02g025890
Sobic.002G217000.2	Sb02g025890
Sobic.002G217100.1	Sb02g025910
Sobic.002G217200.1	Sb02g025920
Sobic.002G217300.1	Sb02g025930
Sobic.002G217300.2	Sb02g025930
Sobic.002G217300.3	Sb02g025930
Sobic.002G217300.4	Sb02g025930
Sobic.002G217400.1	Sb02g025940
Sobic.002G217500.1	Sb02g025945
Sobic.002G217600.1	Sb02g025950
Sobic.002G217700.1	Sb02g025960
Sobic.002G217800.1	Sb02g025963
Sobic.002G217900.1	Sb02g025966
Sobic.002G218000.1	Sb02g025970
Sobic.002G218100.1	Sb02g025980
Sobic.002G218200.1	Sb02g025985
Sobic.002G218300.1	Sb02g025990
Sobic.002G218400.1	Sb02g026000
Sobic.002G218500.1	Sb02g026010
Sobic.002G218600.1	Sb02g026020
Sobic.002G218800.1	Sb02g026040
Sobic.002G218900.1	Sb02g026050
Sobic.002G219000.1	Sb02g026060
Sobic.002G219200.1	Sb02g026070
Sobic.002G219300.1	Sb02g026075
Sobic.002G219400.1	Sb02g026080
Sobic.002G219500.1	Sb02g026090
Sobic.002G219700.1	Sb02g026100
Sobic.002G219700.2	Sb02g026100
Sobic.002G219700.3	Sb02g026100
Sobic.002G219900.1	Sb02g026120
Sobic.002G220300.1	Sb02g026150
Sobic.002G220500.1	Sb02g026160
Sobic.002G220600.1	Sb02g026170
Sobic.002G220600.2	Sb02g026170
Sobic.002G220600.3	Sb02g026170
Sobic.002G220600.4	Sb02g026170
Sobic.002G220700.1	Sb02g026180
Sobic.002G220700.2	Sb02g026180
Sobic.002G221000.1	Sb02g026200
Sobic.002G221100.1	Sb02g026210
Sobic.002G221200.1	Sb02g026220
Sobic.002G221400.1	Sb02g026230
Sobic.002G221400.2	Sb02g026230
Sobic.002G221500.1	Sb02g026240
Sobic.002G221600.1	Sb02g026250
Sobic.002G221700.1	Sb02g026260
Sobic.002G221800.1	Sb02g026270
Sobic.002G221900.1	Sb02g026280
Sobic.002G222200.1	Sb02g026300
Sobic.002G222300.1	Sb02g026310
Sobic.002G222400.1	Sb02g026320
Sobic.002G222500.1	Sb02g026330
Sobic.002G222600.1	Sb02g026340
Sobic.002G222700.1	Sb02g026350
Sobic.002G222800.1	Sb02g026360
Sobic.002G222900.1	Sb02g026370
Sobic.002G223000.1	Sb02g026380
Sobic.002G223200.1	Sb02g026400
Sobic.002G223401.1	Sb02g026420
Sobic.002G223401.2	Sb02g026420
Sobic.002G223500.1	Sb02g026430
Sobic.002G223600.1	Sb02g026440
Sobic.002G223700.1	Sb02g026450
Sobic.002G223700.2	Sb02g026450
Sobic.002G223800.1	Sb02g026455
Sobic.002G223900.1	Sb02g026460
Sobic.002G224100.1	Sb02g026490
Sobic.002G224100.2	Sb02g026490
Sobic.002G224100.3	Sb02g026490
Sobic.002G224200.1	Sb02g026500
Sobic.002G224300.1	Sb02g026510
Sobic.002G224300.2	Sb02g026510
Sobic.002G224400.1	Sb02g026520
Sobic.002G224500.1	Sb02g026530
Sobic.002G224700.1	Sb02g026540
Sobic.002G225000.1	Sb02g026560
Sobic.002G225100.1	Sb02g026570
Sobic.002G225200.1	Sb02g026580
Sobic.002G225300.1	Sb02g026590
Sobic.002G225400.1	Sb02g026600
Sobic.002G225650.1	Sb02g026620
Sobic.002G225700.1	Sb02g026630
Sobic.002G225800.1	Sb02g026635
Sobic.002G225900.1	Sb02g026640
Sobic.002G226100.1	Sb02g026650
Sobic.002G226300.1	Sb02g026670
Sobic.002G226400.1	Sb02g026680
Sobic.002G226500.1	Sb02g026690
Sobic.002G226800.1	Sb02g026710
Sobic.002G226800.2	Sb02g026710
Sobic.002G226800.3	Sb02g026710
Sobic.002G226900.1	Sb02g026720
Sobic.002G227000.1	Sb02g026730
Sobic.002G227000.2	Sb02g026730
Sobic.002G227000.3	Sb02g026730
Sobic.002G227100.1	Sb02g026740
Sobic.002G227200.1	Sb02g026750
Sobic.002G227200.3	Sb02g026750
Sobic.002G227200.4	Sb02g026750
Sobic.002G227200.5	Sb02g026750
Sobic.002G227200.6	Sb02g026750
Sobic.002G227300.1	Sb02g026760
Sobic.002G227500.1	Sb02g026780
Sobic.002G227700.3	Sb02g026790
Sobic.002G227800.1	Sb02g026800
Sobic.002G228500.1	Sb02g026816
Sobic.002G228700.1	Sb02g026818
Sobic.002G228900.1	Sb02g026820
Sobic.002G228900.2	Sb02g026820
Sobic.002G229000.1	Sb02g026830
Sobic.002G229100.1	Sb02g026840
Sobic.002G229300.1	Sb02g026860
Sobic.002G229400.1	Sb02g026870
Sobic.002G229700.1	Sb02g026890
Sobic.002G229700.2	Sb02g026890
Sobic.002G229900.1	Sb02g026910
Sobic.002G230000.1	Sb02g026920
Sobic.002G230100.4	Sb02g026930
Sobic.002G230100.5	Sb02g026930
Sobic.002G230100.6	Sb02g026930
Sobic.002G230301.1	Sb02g026970
Sobic.002G230400.1	Sb02g026980
Sobic.002G230400.2	Sb02g026980
Sobic.002G230400.3	Sb02g026980
Sobic.002G230400.4	Sb02g026980
Sobic.002G230500.1	Sb02g026990
Sobic.002G230600.1	Sb02g027000
Sobic.002G230800.1	Sb02g027010
Sobic.002G230900.1	Sb02g027020
Sobic.002G231000.1	Sb02g027030
Sobic.002G231100.1	Sb02g027040
Sobic.002G231200.1	Sb02g027050
Sobic.002G231500.1	Sb02g027070
Sobic.002G231600.1	Sb02g027080
Sobic.002G231800.2	Sb02g027090
Sobic.002G231900.1	Sb02g027100
Sobic.002G231900.2	Sb02g027100
Sobic.002G232100.1	Sb02g027120
Sobic.002G232200.1	Sb02g027130
Sobic.002G232300.1	Sb02g027150
Sobic.002G232400.1	Sb02g027160
Sobic.002G232400.2	Sb02g027160
Sobic.002G232400.3	Sb02g027160
Sobic.002G232500.1	Sb02g027170
Sobic.002G232600.1	Sb02g027180
Sobic.002G232700.2	Sb02g027190
Sobic.002G232700.3	Sb02g027190
Sobic.002G232800.1	Sb02g027200
Sobic.002G232900.1	Sb02g027210
Sobic.002G233000.1	Sb02g027220
Sobic.002G233100.1	Sb02g027230
Sobic.002G233200.1	Sb02g027240
Sobic.002G233300.1	Sb02g027250
Sobic.002G233400.1	Sb02g027255
Sobic.002G233400.2	Sb02g027255
Sobic.002G233500.1	Sb02g027260
Sobic.002G233600.1	Sb02g027280
Sobic.002G233600.2	Sb02g027280
Sobic.002G233600.4	Sb02g027280
Sobic.002G233600.5	Sb02g027280
Sobic.002G233600.6	Sb02g027280
Sobic.002G233700.1	Sb02g027290
Sobic.002G233800.1	Sb02g027300
Sobic.002G233900.1	Sb02g027310
Sobic.002G234100.1	Sb02g027320
Sobic.002G234100.2	Sb02g027320
Sobic.002G234200.1	Sb02g027330
Sobic.002G234200.2	Sb02g027330
Sobic.002G234200.3	Sb02g027330
Sobic.002G234300.1	Sb02g027340
Sobic.002G234400.1	Sb02g027350
Sobic.002G234600.1	Sb02g027370
Sobic.002G234600.2	Sb02g027370
Sobic.002G234700.1	Sb02g027380
Sobic.002G235200.2	Sb02g027390
Sobic.002G235200.3	Sb02g027390
Sobic.002G235200.4	Sb02g027390
Sobic.002G235200.5	Sb02g027390
Sobic.002G235200.6	Sb02g027390
Sobic.002G235200.7	Sb02g027390
Sobic.002G235300.1	Sb02g027400
Sobic.002G235300.2	Sb02g027400
Sobic.002G235500.1	Sb02g027410
Sobic.002G235600.1	Sb02g027420
Sobic.002G235700.1	Sb02g027430
Sobic.002G235800.1	Sb02g027440
Sobic.002G235900.1	Sb02g027450
Sobic.002G236200.2	Sb02g027460
Sobic.002G236200.3	Sb02g027460
Sobic.002G236200.5	Sb02g027460
Sobic.002G236200.6	Sb02g027460
Sobic.002G236200.7	Sb02g027460
Sobic.002G236200.8	Sb02g027460
Sobic.002G236400.1	Sb02g027470
Sobic.002G236500.1	Sb02g027475
Sobic.002G236700.1	Sb02g027490
Sobic.002G236700.2	Sb02g027490
Sobic.002G236800.1	Sb02g027500
Sobic.002G237000.1	Sb02g027510
Sobic.002G237200.1	Sb02g027520
Sobic.002G237600.1	Sb02g027540
Sobic.002G237800.1	Sb02g027560
Sobic.002G237800.2	Sb02g027560
Sobic.002G237900.1	Sb02g027570
Sobic.002G238000.1	Sb02g027580
Sobic.002G238100.1	Sb02g027590
Sobic.002G238200.1	Sb02g027600
Sobic.002G238300.1	Sb02g027610
Sobic.002G238300.2	Sb02g027610
Sobic.002G238300.3	Sb02g027610
Sobic.002G238500.2	Sb02g027630
Sobic.002G238500.3	Sb02g027630
Sobic.002G238500.4	Sb02g027630
Sobic.002G238600.1	Sb02g027640
Sobic.002G238700.1	Sb02g027650
Sobic.002G238800.1	Sb02g027660
Sobic.002G238900.1	Sb02g027670
Sobic.002G239300.1	Sb02g027685
Sobic.002G239601.1	Sb02g027700
Sobic.002G239700.1	Sb02g027710
Sobic.002G239800.1	Sb02g027720
Sobic.002G239800.2	Sb02g027720
Sobic.002G239900.1	Sb02g027740
Sobic.002G240100.1	Sb02g027760
Sobic.002G240200.1	Sb02g027770
Sobic.002G240300.1	Sb02g027780
Sobic.002G240700.1	Sb02g027810
Sobic.002G240800.1	Sb02g027820
Sobic.002G240900.1	Sb02g027830
Sobic.002G241100.1	Sb02g027840
Sobic.002G241100.2	Sb02g027840
Sobic.002G241400.1	Sb02g027860
Sobic.002G241500.1	Sb02g027870
Sobic.002G241700.1	Sb02g027880
Sobic.002G241700.2	Sb02g027880
Sobic.002G241900.1	Sb02g027890
Sobic.002G242000.1	Sb02g027900
Sobic.002G242100.1	Sb02g027910
Sobic.002G242200.1	Sb02g027920
Sobic.002G242300.1	Sb02g027930
Sobic.002G242400.1	Sb02g027940
Sobic.002G242500.1	Sb02g027950
Sobic.002G242500.2	Sb02g027950
Sobic.002G242600.1	Sb02g027960
Sobic.002G242600.2	Sb02g027960
Sobic.002G242600.3	Sb02g027960
Sobic.002G242700.1	Sb02g027970
Sobic.002G242800.1	Sb02g027980
Sobic.002G242900.1	Sb02g027990
Sobic.002G243000.1	Sb02g028000
Sobic.002G243100.1	Sb02g028010
Sobic.002G243200.1	Sb02g028020
Sobic.002G243300.1	Sb02g028030
Sobic.002G243400.1	Sb02g028040
Sobic.002G243500.1	Sb02g028050
Sobic.002G243650.1	Sb02g028070
Sobic.002G243800.1	Sb02g028080
Sobic.002G244100.1	Sb02g028090
Sobic.002G244300.1	Sb02g028120
Sobic.002G244400.1	Sb02g028130
Sobic.002G244500.1	Sb02g028140
Sobic.002G244500.2	Sb02g028140
Sobic.002G244500.3	Sb02g028140
Sobic.002G244700.1	Sb02g028150
Sobic.002G244700.2	Sb02g028150
Sobic.002G244700.3	Sb02g028150
Sobic.002G245000.1	Sb02g028170
Sobic.002G245100.1	Sb02g028180
Sobic.002G245200.1	Sb02g028190
Sobic.002G245300.1	Sb02g028200
Sobic.002G245400.1	Sb02g028210
Sobic.002G245500.1	Sb02g028220
Sobic.002G245500.2	Sb02g028220
Sobic.002G245600.1	Sb02g028230
Sobic.002G245900.1	Sb02g028250
Sobic.002G246000.1	Sb02g028255
Sobic.002G246200.1	Sb02g028260
Sobic.002G246300.1	Sb02g028270
Sobic.002G246400.1	Sb02g028280
Sobic.002G246600.1	Sb02g028300
Sobic.002G246600.2	Sb02g028300
Sobic.002G246600.3	Sb02g028300
Sobic.002G246600.4	Sb02g028300
Sobic.002G246700.1	Sb02g028310
Sobic.002G246800.1	Sb02g028330
Sobic.002G246800.2	Sb02g028330
Sobic.002G246900.1	Sb02g028340
Sobic.002G247000.1	Sb02g028350
Sobic.002G247100.1	Sb02g028360
Sobic.002G247200.1	Sb02g028370
Sobic.002G247200.2	Sb02g028370
Sobic.002G247300.1	Sb02g028380
Sobic.002G247300.2	Sb02g028380
Sobic.002G247300.3	Sb02g028380
Sobic.002G247500.2	Sb02g028390
Sobic.002G247500.3	Sb02g028390
Sobic.002G247500.4	Sb02g028390
Sobic.002G247600.1	Sb02g028400
Sobic.002G247800.1	Sb02g028420
Sobic.002G248100.1	Sb02g028430
Sobic.002G248300.1	Sb02g028440
Sobic.002G248400.1	Sb02g028450
Sobic.002G248600.1	Sb02g028460
Sobic.002G248700.1	Sb02g028470
Sobic.002G248800.1	Sb02g028480
Sobic.002G248900.1	Sb02g028490
Sobic.002G248900.2	Sb02g028490
Sobic.002G249000.1	Sb02g028500
Sobic.002G249000.2	Sb02g028500
Sobic.002G249000.3	Sb02g028500
Sobic.002G249000.4	Sb02g028500
Sobic.002G249200.1	Sb02g028510
Sobic.002G249200.4	Sb02g028510
Sobic.002G249200.5	Sb02g028510
Sobic.002G249200.6	Sb02g028510
Sobic.002G249200.7	Sb02g028510
Sobic.002G249200.8	Sb02g028510
Sobic.002G249300.1	Sb02g028520
Sobic.002G249400.1	Sb02g028530
Sobic.002G249500.2	Sb02g028540
Sobic.002G249500.4	Sb02g028540
Sobic.002G249500.5	Sb02g028540
Sobic.002G249500.6	Sb02g028540
Sobic.002G249500.7	Sb02g028540
Sobic.002G249600.1	Sb02g028550
Sobic.002G249700.1	Sb02g028560
Sobic.002G249800.1	Sb02g028570
Sobic.002G249900.1	Sb02g028580
Sobic.002G250000.3	Sb02g028590
Sobic.002G250000.4	Sb02g028590
Sobic.002G250100.2	Sb02g028600
Sobic.002G250100.3	Sb02g028600
Sobic.002G250200.1	Sb02g028610
Sobic.002G250400.1	Sb02g028630
Sobic.002G250550.1	Sb02g028640
Sobic.002G250700.1	Sb02g028650
Sobic.002G250800.1	Sb02g028660
Sobic.002G250900.1	Sb02g028670
Sobic.002G251000.1	Sb02g028680
Sobic.002G251100.1	Sb02g028690
Sobic.002G251200.1	Sb02g028700
Sobic.002G251300.1	Sb02g028710
Sobic.002G251400.1	Sb02g028720
Sobic.002G251600.1	Sb02g028740
Sobic.002G251700.1	Sb02g028750
Sobic.002G251700.2	Sb02g028750
Sobic.002G251900.1	Sb02g028760
Sobic.002G252000.1	Sb02g028770
Sobic.002G252100.1	Sb02g028780
Sobic.002G252300.1	Sb02g028790
Sobic.002G252300.2	Sb02g028790
Sobic.002G252500.1	Sb02g028820
Sobic.002G252500.2	Sb02g028820
Sobic.002G252600.1	Sb02g028830
Sobic.002G252600.2	Sb02g028830
Sobic.002G252700.1	Sb02g028840
Sobic.002G252900.1	Sb02g028860
Sobic.002G252900.2	Sb02g028860
Sobic.002G253000.1	Sb02g028870
Sobic.002G253000.2	Sb02g028870
Sobic.002G253100.1	Sb02g028880
Sobic.002G253200.1	Sb02g028890
Sobic.002G253300.1	Sb02g028895
Sobic.002G253500.1	Sb02g028910
Sobic.002G253800.1	Sb02g028935
Sobic.002G253800.2	Sb02g028935
Sobic.002G253800.3	Sb02g028935
Sobic.002G253900.1	Sb02g028940
Sobic.002G254200.1	Sb02g028960
Sobic.002G254300.1	Sb02g028962
Sobic.002G254500.1	Sb02g028970
Sobic.002G254600.1	Sb02g028980
Sobic.002G254600.2	Sb02g028980
Sobic.002G254600.3	Sb02g028980
Sobic.002G254700.1	Sb02g028990
Sobic.002G254800.1	Sb02g029000
Sobic.002G254800.2	Sb02g029000
Sobic.002G254900.1	Sb02g029010
Sobic.002G255000.1	Sb02g029020
Sobic.002G255100.1	Sb02g029030
Sobic.002G255300.1	Sb02g029050
Sobic.002G255400.1	Sb02g029060
Sobic.002G255500.1	Sb02g029070
Sobic.002G255500.2	Sb02g029070
Sobic.002G255500.3	Sb02g029070
Sobic.002G255600.1	Sb02g029080
Sobic.002G255700.1	Sb02g029090
Sobic.002G255800.1	Sb02g029100
Sobic.002G255901.1	Sb02g029110
Sobic.002G256000.1	Sb02g029120
Sobic.002G256000.2	Sb02g029120
Sobic.002G256100.1	Sb02g029130
Sobic.002G256200.1	Sb02g029140
Sobic.002G256300.1	Sb02g029150
Sobic.002G256400.1	Sb02g029155
Sobic.002G256400.2	Sb02g029155
Sobic.002G256400.3	Sb02g029155
Sobic.002G256400.4	Sb02g029155
Sobic.002G256500.1	Sb02g029160
